pixel_no,pixel_x,pixel_y,latitude,longitude,C12_real_mean,C12_real_sigma
1,-1,-2,NaN,NaN,NaN,NaN
2,0,-2,NaN,NaN,NaN,NaN
3,1,-2,NaN,NaN,NaN,NaN
4,2,-2,NaN,NaN,NaN,NaN
5,3,-2,NaN,NaN,NaN,NaN
6,4,-2,NaN,NaN,NaN,NaN
7,5,-2,NaN,NaN,NaN,NaN
8,6,-2,NaN,NaN,NaN,NaN
9,7,-2,NaN,NaN,NaN,NaN
10,8,-2,NaN,NaN,NaN,NaN
11,9,-2,NaN,NaN,NaN,NaN
12,10,-2,NaN,NaN,NaN,NaN
13,11,-2,NaN,NaN,NaN,NaN
14,12,-2,NaN,NaN,NaN,NaN
15,13,-2,NaN,NaN,NaN,NaN
16,14,-2,NaN,NaN,NaN,NaN
17,15,-2,NaN,NaN,NaN,NaN
18,16,-2,NaN,NaN,NaN,NaN
19,17,-2,NaN,NaN,NaN,NaN
20,18,-2,NaN,NaN,NaN,NaN
21,19,-2,NaN,NaN,NaN,NaN
22,20,-2,NaN,NaN,NaN,NaN
23,21,-2,NaN,NaN,NaN,NaN
24,22,-2,NaN,NaN,NaN,NaN
25,23,-2,NaN,NaN,NaN,NaN
26,24,-2,NaN,NaN,NaN,NaN
27,25,-2,NaN,NaN,NaN,NaN
28,26,-2,NaN,NaN,NaN,NaN
29,27,-2,NaN,NaN,NaN,NaN
30,28,-2,NaN,NaN,NaN,NaN
31,29,-2,NaN,NaN,NaN,NaN
32,30,-2,NaN,NaN,NaN,NaN
33,31,-2,NaN,NaN,NaN,NaN
34,32,-2,NaN,NaN,NaN,NaN
35,33,-2,NaN,NaN,NaN,NaN
36,34,-2,NaN,NaN,NaN,NaN
37,35,-2,NaN,NaN,NaN,NaN
38,36,-2,NaN,NaN,NaN,NaN
39,37,-2,NaN,NaN,NaN,NaN
40,38,-2,NaN,NaN,NaN,NaN
41,39,-2,NaN,NaN,NaN,NaN
42,40,-2,NaN,NaN,NaN,NaN
43,41,-2,NaN,NaN,NaN,NaN
44,42,-2,NaN,NaN,NaN,NaN
45,43,-2,NaN,NaN,NaN,NaN
46,44,-2,NaN,NaN,NaN,NaN
47,45,-2,NaN,NaN,NaN,NaN
48,46,-2,NaN,NaN,NaN,NaN
49,47,-2,NaN,NaN,NaN,NaN
50,48,-2,NaN,NaN,NaN,NaN
51,49,-2,NaN,NaN,NaN,NaN
52,50,-2,NaN,NaN,NaN,NaN
53,51,-2,NaN,NaN,NaN,NaN
54,52,-2,NaN,NaN,NaN,NaN
55,53,-2,NaN,NaN,NaN,NaN
56,54,-2,NaN,NaN,NaN,NaN
57,55,-2,NaN,NaN,NaN,NaN
58,56,-2,NaN,NaN,NaN,NaN
59,57,-2,NaN,NaN,NaN,NaN
60,58,-2,NaN,NaN,NaN,NaN
61,59,-2,NaN,NaN,NaN,NaN
62,60,-2,NaN,NaN,NaN,NaN
63,61,-2,NaN,NaN,NaN,NaN
64,62,-2,NaN,NaN,NaN,NaN
65,63,-2,NaN,NaN,NaN,NaN
66,64,-2,NaN,NaN,NaN,NaN
67,65,-2,NaN,NaN,NaN,NaN
68,66,-2,NaN,NaN,NaN,NaN
69,67,-2,NaN,NaN,NaN,NaN
70,68,-2,NaN,NaN,NaN,NaN
71,69,-2,NaN,NaN,NaN,NaN
72,70,-2,NaN,NaN,NaN,NaN
73,71,-2,NaN,NaN,NaN,NaN
74,72,-2,NaN,NaN,NaN,NaN
75,73,-2,NaN,NaN,NaN,NaN
76,74,-2,NaN,NaN,NaN,NaN
